count,date
10.0,2019-11-01 00:00:10
8.0,2019-11-01 00:00:21
6.0,2019-11-01 00:00:31
2.0,2019-11-01 00:00:42
3.0,2019-11-01 00:00:51
5.0,2019-11-01 00:01:10
0.0,2019-11-01 00:01:26
5.0,2019-11-01 00:01:31
2.0,2019-11-01 00:01:46
8.0,2019-11-01 00:01:52
2.0,2019-11-01 00:02:03
2.0,2019-11-01 00:02:16
1.0,2019-11-01 00:02:30
0.0,2019-11-01 00:02:44
1.0,2019-11-01 00:03:03
5.0,2019-11-01 00:03:14
16.0,2019-11-01 00:03:24
15.0,2019-11-01 00:03:35
0.0,2019-11-01 00:03:46
4.0,2019-11-01 00:03:59
6.0,2019-11-01 00:04:08
2.0,2019-11-01 00:04:27
3.0,2019-11-01 00:04:49
4.0,2019-11-01 00:05:00
2.0,2019-11-01 00:05:15
5.0,2019-11-01 00:05:22
11.0,2019-11-01 00:05:33
0.0,2019-11-01 00:05:43
13.0,2019-11-01 00:05:54
5.0,2019-11-01 00:06:05
13.0,2019-11-01 00:06:16
14.0,2019-11-01 00:06:27
1.0,2019-11-01 00:06:43
7.0,2019-11-01 00:06:53
56.0,2019-11-01 00:07:03
2.0,2019-11-01 00:07:14
1.0,2019-11-01 00:07:32
2.0,2019-11-01 00:07:42
2.0,2019-11-01 00:07:53
2.0,2019-11-01 00:08:06
7.0,2019-11-01 00:08:17
3.0,2019-11-01 00:08:28
1.0,2019-11-01 00:08:57
8.0,2019-11-01 00:09:07
11.0,2019-11-01 00:09:18
0.0,2019-11-01 00:09:28
3.0,2019-11-01 00:09:39
1.0,2019-11-01 00:10:00
1.0,2019-11-01 00:10:06
0.0,2019-11-01 00:10:16
6.0,2019-11-01 00:10:37
1.0,2019-11-01 00:10:47
3.0,2019-11-01 00:10:58
58.0,2019-11-01 00:11:09
7.0,2019-11-01 00:11:31
11.0,2019-11-01 00:11:40
3.0,2019-11-01 00:11:47
9.0,2019-11-01 00:11:58
5.0,2019-11-01 00:12:16
2.0,2019-11-01 00:12:30
6.0,2019-11-01 00:12:49
4.0,2019-11-01 00:12:58
9.0,2019-11-01 00:13:11
4.0,2019-11-01 00:13:21
0.0,2019-11-01 00:13:39
2.0,2019-11-01 00:13:44
0.0,2019-11-01 00:13:55
0.0,2019-11-01 00:14:05
26.0,2019-11-01 00:14:16
5.0,2019-11-01 00:14:26
0.0,2019-11-01 00:14:37
5.0,2019-11-01 00:15:01
2.0,2019-11-01 00:15:11
9.0,2019-11-01 00:15:21
3.0,2019-11-01 00:15:33
0.0,2019-11-01 00:15:43
3.0,2019-11-01 00:15:52
6.0,2019-11-01 00:16:03
2.0,2019-11-01 00:16:14
2.0,2019-11-01 00:16:25
2.0,2019-11-01 00:16:35
4.0,2019-11-01 00:16:44
2.0,2019-11-01 00:16:55
11.0,2019-11-01 00:17:06
2.0,2019-11-01 00:17:17
1.0,2019-11-01 00:17:29
8.0,2019-11-01 00:17:33
7.0,2019-11-01 00:17:43
3.0,2019-11-01 00:17:54
19.0,2019-11-01 00:18:09
1.0,2019-11-01 00:18:20
4.0,2019-11-01 00:18:33
11.0,2019-11-01 00:18:41
5.0,2019-11-01 00:18:51
9.0,2019-11-01 00:19:01
3.0,2019-11-01 00:19:19
1.0,2019-11-01 00:19:30
0.0,2019-11-01 00:19:41
16.0,2019-11-01 00:19:51
8.0,2019-11-01 00:20:02
116.0,2019-11-01 00:20:13
1.0,2019-11-01 00:20:23
5.0,2019-11-01 00:20:39
11.0,2019-11-01 00:20:50
1.0,2019-11-01 00:21:01
4.0,2019-11-01 00:21:12
0.0,2019-11-01 00:21:29
0.0,2019-11-01 00:21:40
5.0,2019-11-01 00:21:50
5.0,2019-11-01 00:21:59
10.0,2019-11-01 00:22:10
2.0,2019-11-01 00:22:21
1.0,2019-11-01 00:22:40
6.0,2019-11-01 00:22:57
14.0,2019-11-01 00:23:07
0.0,2019-11-01 00:23:18
2.0,2019-11-01 00:23:28
4.0,2019-11-01 00:23:35
1.0,2019-11-01 00:23:47
2.0,2019-11-01 00:23:56
4.0,2019-11-01 00:24:04
11.0,2019-11-01 00:24:13
22.0,2019-11-01 00:24:23
5.0,2019-11-01 00:24:31
2.0,2019-11-01 00:24:46
21.0,2019-11-01 00:24:57
1.0,2019-11-01 00:25:08
1.0,2019-11-01 00:25:19
6.0,2019-11-01 00:25:30
3.0,2019-11-01 00:25:39
0.0,2019-11-01 00:25:52
4.0,2019-11-01 00:26:01
213.0,2019-11-01 00:26:21
1.0,2019-11-01 00:26:42
0.0,2019-11-01 00:26:55
0.0,2019-11-01 00:27:06
7.0,2019-11-01 00:27:17
1.0,2019-11-01 00:27:26
1.0,2019-11-01 00:27:36
2.0,2019-11-01 00:27:45
4.0,2019-11-01 00:27:57
6.0,2019-11-01 00:28:08
7.0,2019-11-01 00:28:19
1.0,2019-11-01 00:28:36
2.0,2019-11-01 00:28:58
2.0,2019-11-01 00:29:09
9.0,2019-11-01 00:29:20
3.0,2019-11-01 00:29:32
14.0,2019-11-01 00:29:46
3.0,2019-11-01 00:29:56
2.0,2019-11-01 00:30:07
4.0,2019-11-01 00:30:16
14.0,2019-11-01 00:30:24
3.0,2019-11-01 00:30:34
1.0,2019-11-01 00:30:44
1.0,2019-11-01 00:30:57
4.0,2019-11-01 00:31:06
0.0,2019-11-01 00:31:17
2.0,2019-11-01 00:31:27
7.0,2019-11-01 00:31:38
59.0,2019-11-01 00:31:49
1.0,2019-11-01 00:32:11
1.0,2019-11-01 00:32:22
5.0,2019-11-01 00:32:29
7.0,2019-11-01 00:32:37
5.0,2019-11-01 00:32:47
0.0,2019-11-01 00:32:58
163.0,2019-11-01 00:33:06
3.0,2019-11-01 00:33:11
7.0,2019-11-01 00:33:22
1.0,2019-11-01 00:33:34
6.0,2019-11-01 00:33:44
5.0,2019-11-01 00:33:55
2.0,2019-11-01 00:34:04
2.0,2019-11-01 00:34:15
2.0,2019-11-01 00:34:26
2.0,2019-11-01 00:34:37
1.0,2019-11-01 00:34:48
8.0,2019-11-01 00:34:57
3.0,2019-11-01 00:35:08
47.0,2019-11-01 00:35:19
0.0,2019-11-01 00:35:37
2.0,2019-11-01 00:35:47
15.0,2019-11-01 00:35:58
7.0,2019-11-01 00:36:08
6.0,2019-11-01 00:36:16
4.0,2019-11-01 00:36:25
8.0,2019-11-01 00:36:36
120.0,2019-11-01 00:36:39
0.0,2019-11-01 00:36:49
0.0,2019-11-01 00:37:05
11.0,2019-11-01 00:37:22
2.0,2019-11-01 00:37:39
5.0,2019-11-01 00:37:59
5.0,2019-11-01 00:38:13
0.0,2019-11-01 00:38:29
1.0,2019-11-01 00:38:36
1.0,2019-11-01 00:38:50
0.0,2019-11-01 00:38:57
0.0,2019-11-01 00:39:08
6.0,2019-11-01 00:39:18
2.0,2019-11-01 00:39:20
2.0,2019-11-01 00:39:30
1.0,2019-11-01 00:39:40
2.0,2019-11-01 00:40:02
11.0,2019-11-01 00:40:12
5.0,2019-11-01 00:40:28
8.0,2019-11-01 00:40:39
13.0,2019-11-01 00:40:50
3.0,2019-11-01 00:41:10
43.0,2019-11-01 00:41:21
2.0,2019-11-01 00:41:42
11.0,2019-11-01 00:42:01
7.0,2019-11-01 00:42:10
4.0,2019-11-01 00:42:26
0.0,2019-11-01 00:42:37
2.0,2019-11-01 00:42:51
4.0,2019-11-01 00:43:01
1.0,2019-11-01 00:43:10
2.0,2019-11-01 00:43:21
1.0,2019-11-01 00:43:34
6.0,2019-11-01 00:43:43
1.0,2019-11-01 00:43:54
6.0,2019-11-01 00:44:04
1.0,2019-11-01 00:44:19
17.0,2019-11-01 00:44:25
3.0,2019-11-01 00:44:35
4.0,2019-11-01 00:44:46
4.0,2019-11-01 00:44:56
10.0,2019-11-01 00:45:06
221.0,2019-11-01 00:45:12
2.0,2019-11-01 00:45:24
7.0,2019-11-01 00:45:37
3.0,2019-11-01 00:45:48
0.0,2019-11-01 00:45:58
8.0,2019-11-01 00:46:10
0.0,2019-11-01 00:46:20
1.0,2019-11-01 00:46:29
11.0,2019-11-01 00:46:40
8.0,2019-11-01 00:46:58
6.0,2019-11-01 00:47:07
40.0,2019-11-01 00:47:09
13.0,2019-11-01 00:47:18
0.0,2019-11-01 00:47:39
0.0,2019-11-01 00:47:59
6.0,2019-11-01 00:48:10
5.0,2019-11-01 00:48:12
0.0,2019-11-01 00:48:21
10.0,2019-11-01 00:48:33
0.0,2019-11-01 00:48:46
2.0,2019-11-01 00:48:56
1.0,2019-11-01 00:49:15
3.0,2019-11-01 00:49:22
8.0,2019-11-01 00:49:41
3.0,2019-11-01 00:50:01
10.0,2019-11-01 00:50:12
1.0,2019-11-01 00:50:21
2.0,2019-11-01 00:50:32
1.0,2019-11-01 00:50:48
1.0,2019-11-01 00:50:55
0.0,2019-11-01 00:51:04
3.0,2019-11-01 00:51:17
0.0,2019-11-01 00:51:26
11.0,2019-11-01 00:51:37
3.0,2019-11-01 00:51:45
3.0,2019-11-01 00:51:52
11.0,2019-11-01 00:52:03
2.0,2019-11-01 00:52:14
2.0,2019-11-01 00:52:24
11.0,2019-11-01 00:52:35
3.0,2019-11-01 00:52:46
5.0,2019-11-01 00:52:57
13.0,2019-11-01 00:53:08
0.0,2019-11-01 00:53:25
1.0,2019-11-01 00:53:36
1.0,2019-11-01 00:53:45
6.0,2019-11-01 00:53:56
6.0,2019-11-01 00:54:01
0.0,2019-11-01 00:54:11
5.0,2019-11-01 00:54:26
4.0,2019-11-01 00:54:35
2.0,2019-11-01 00:54:46
14.0,2019-11-01 00:54:57
3.0,2019-11-01 00:55:08
7.0,2019-11-01 00:55:16
4.0,2019-11-01 00:55:27
1.0,2019-11-01 00:55:37
27.0,2019-11-01 00:55:46
3.0,2019-11-01 00:55:53
3.0,2019-11-01 00:56:14
2.0,2019-11-01 00:56:23
1.0,2019-11-01 00:56:33
1.0,2019-11-01 00:56:45
3.0,2019-11-01 00:56:54
3.0,2019-11-01 00:57:03
5.0,2019-11-01 00:57:16
2.0,2019-11-01 00:57:26
0.0,2019-11-01 00:57:37
4.0,2019-11-01 00:57:48
2.0,2019-11-01 00:58:01
22.0,2019-11-01 00:58:10
1.0,2019-11-01 00:58:21
3.0,2019-11-01 00:58:32
1.0,2019-11-01 00:58:43
10.0,2019-11-01 00:58:54
3.0,2019-11-01 00:59:05
0.0,2019-11-01 00:59:18
15.0,2019-11-01 00:59:21
6.0,2019-11-01 00:59:32
0.0,2019-11-01 00:59:43
5.0,2019-11-01 00:59:53
3.0,2019-11-01 01:00:03
3.0,2019-11-01 01:00:18
18.0,2019-11-01 01:00:30
1.0,2019-11-01 01:00:50
5.0,2019-11-01 01:01:00
5.0,2019-11-01 01:01:11
6.0,2019-11-01 01:01:22
3.0,2019-11-01 01:01:33
10.0,2019-11-01 01:01:42
1.0,2019-11-01 01:01:53
2.0,2019-11-01 01:02:04
5.0,2019-11-01 01:02:14
0.0,2019-11-01 01:02:24
5.0,2019-11-01 01:02:35
9.0,2019-11-01 01:02:46
3.0,2019-11-01 01:02:57
13.0,2019-11-01 01:03:08
10.0,2019-11-01 01:03:19
1.0,2019-11-01 01:03:30
4.0,2019-11-01 01:03:41
0.0,2019-11-01 01:03:52
1.0,2019-11-01 01:04:03
2.0,2019-11-01 01:04:30
1.0,2019-11-01 01:04:41
4.0,2019-11-01 01:04:51
1.0,2019-11-01 01:05:02
1.0,2019-11-01 01:05:15
1.0,2019-11-01 01:05:34
6.0,2019-11-01 01:05:45
3.0,2019-11-01 01:05:56
3.0,2019-11-01 01:06:07
2.0,2019-11-01 01:06:28
15.0,2019-11-01 01:06:41
2.0,2019-11-01 01:06:50
6.0,2019-11-01 01:06:59
2.0,2019-11-01 01:07:10
6.0,2019-11-01 01:07:20
2.0,2019-11-01 01:07:30
1.0,2019-11-01 01:07:41
0.0,2019-11-01 01:07:52
14.0,2019-11-01 01:07:58
12.0,2019-11-01 01:08:14
9.0,2019-11-01 01:08:28
0.0,2019-11-01 01:08:38
7.0,2019-11-01 01:08:48
3.0,2019-11-01 01:08:57
2.0,2019-11-01 01:09:08
0.0,2019-11-01 01:09:18
22.0,2019-11-01 01:09:20
9.0,2019-11-01 01:09:29
2.0,2019-11-01 01:09:40
5.0,2019-11-01 01:09:50
3.0,2019-11-01 01:10:02
5.0,2019-11-01 01:10:13
0.0,2019-11-01 01:10:40
5.0,2019-11-01 01:11:02
1.0,2019-11-01 01:11:15
2.0,2019-11-01 01:11:24
4.0,2019-11-01 01:11:38
1.0,2019-11-01 01:11:47
13.0,2019-11-01 01:11:58
22.0,2019-11-01 01:12:00
0.0,2019-11-01 01:12:09
15.0,2019-11-01 01:12:19
3.0,2019-11-01 01:12:34
2.0,2019-11-01 01:12:45
1.0,2019-11-01 01:12:56
1.0,2019-11-01 01:13:07
0.0,2019-11-01 01:13:18
3.0,2019-11-01 01:13:26
0.0,2019-11-01 01:13:37
3.0,2019-11-01 01:13:48
15.0,2019-11-01 01:13:54
0.0,2019-11-01 01:14:05
4.0,2019-11-01 01:14:15
0.0,2019-11-01 01:14:27
2.0,2019-11-01 01:14:37
17.0,2019-11-01 01:14:45
2.0,2019-11-01 01:14:56
1.0,2019-11-01 01:15:05
0.0,2019-11-01 01:15:18
4.0,2019-11-01 01:15:28
11.0,2019-11-01 01:15:39
9.0,2019-11-01 01:15:50
0.0,2019-11-01 01:16:11
1.0,2019-11-01 01:16:31
3.0,2019-11-01 01:16:53
1.0,2019-11-01 01:17:09
15.0,2019-11-01 01:17:17
0.0,2019-11-01 01:17:27
4.0,2019-11-01 01:17:37
13.0,2019-11-01 01:17:48
1.0,2019-11-01 01:17:59
26.0,2019-11-01 01:18:10
5.0,2019-11-01 01:18:20
1.0,2019-11-01 01:18:34
2.0,2019-11-01 01:18:45
0.0,2019-11-01 01:18:56
0.0,2019-11-01 01:19:05
3.0,2019-11-01 01:19:16
6.0,2019-11-01 01:19:27
10.0,2019-11-01 01:19:35
2.0,2019-11-01 01:19:43
1.0,2019-11-01 01:19:52
12.0,2019-11-01 01:20:02
8.0,2019-11-01 01:20:20
1.0,2019-11-01 01:20:35
4.0,2019-11-01 01:20:46
6.0,2019-11-01 01:20:56
0.0,2019-11-01 01:21:21
0.0,2019-11-01 01:21:32
1.0,2019-11-01 01:21:43
6.0,2019-11-01 01:22:00
10.0,2019-11-01 01:22:11
0.0,2019-11-01 01:22:22
5.0,2019-11-01 01:22:33
3.0,2019-11-01 01:22:44
7.0,2019-11-01 01:22:55
9.0,2019-11-01 01:23:06
19.0,2019-11-01 01:23:16
8.0,2019-11-01 01:23:25
0.0,2019-11-01 01:23:36
0.0,2019-11-01 01:23:47
4.0,2019-11-01 01:24:03
4.0,2019-11-01 01:24:14
1.0,2019-11-01 01:24:28
2.0,2019-11-01 01:24:37
2.0,2019-11-01 01:24:48
3.0,2019-11-01 01:24:57
11.0,2019-11-01 01:25:08
10.0,2019-11-01 01:25:18
19.0,2019-11-01 01:25:29
1.0,2019-11-01 01:25:46
3.0,2019-11-01 01:25:59
4.0,2019-11-01 01:26:10
81.0,2019-11-01 01:26:26
1.0,2019-11-01 01:26:37
12.0,2019-11-01 01:26:47
3.0,2019-11-01 01:26:57
14.0,2019-11-01 01:27:08
3.0,2019-11-01 01:27:19
2.0,2019-11-01 01:27:30
0.0,2019-11-01 01:27:39
26.0,2019-11-01 01:27:44
5.0,2019-11-01 01:27:52
1.0,2019-11-01 01:28:04
12.0,2019-11-01 01:28:14
2.0,2019-11-01 01:28:24
4.0,2019-11-01 01:28:34
2.0,2019-11-01 01:28:44
3.0,2019-11-01 01:28:55
2.0,2019-11-01 01:29:05
8.0,2019-11-01 01:29:27
9.0,2019-11-01 01:29:37
6.0,2019-11-01 01:29:45
3.0,2019-11-01 01:29:59
2.0,2019-11-01 01:30:19
2.0,2019-11-01 01:30:40
1.0,2019-11-01 01:30:49
1.0,2019-11-01 01:30:59
36.0,2019-11-01 01:31:10
1.0,2019-11-01 01:31:28
4.0,2019-11-01 01:31:34
2.0,2019-11-01 01:31:44
0.0,2019-11-01 01:31:55
4.0,2019-11-01 01:32:03
0.0,2019-11-01 01:32:13
0.0,2019-11-01 01:32:22
1.0,2019-11-01 01:32:33
6.0,2019-11-01 01:32:42
2.0,2019-11-01 01:32:52
1.0,2019-11-01 01:33:17
8.0,2019-11-01 01:33:27
5.0,2019-11-01 01:33:41
1.0,2019-11-01 01:33:51
5.0,2019-11-01 01:34:05
6.0,2019-11-01 01:34:16
2.0,2019-11-01 01:34:27
7.0,2019-11-01 01:34:37
1.0,2019-11-01 01:34:50
2.0,2019-11-01 01:35:01
2.0,2019-11-01 01:35:07
2.0,2019-11-01 01:35:24
0.0,2019-11-01 01:35:37
7.0,2019-11-01 01:35:48
2.0,2019-11-01 01:36:05
2.0,2019-11-01 01:36:18
8.0,2019-11-01 01:36:33
10.0,2019-11-01 01:36:44
2.0,2019-11-01 01:36:57
17.0,2019-11-01 01:37:06
0.0,2019-11-01 01:37:17
1.0,2019-11-01 01:37:28
3.0,2019-11-01 01:37:38
8.0,2019-11-01 01:37:48
0.0,2019-11-01 01:37:57
0.0,2019-11-01 01:38:08
1.0,2019-11-01 01:38:19
2.0,2019-11-01 01:38:30
2.0,2019-11-01 01:38:41
7.0,2019-11-01 01:38:47
4.0,2019-11-01 01:38:58
4.0,2019-11-01 01:39:08
8.0,2019-11-01 01:39:28
0.0,2019-11-01 01:39:34
0.0,2019-11-01 01:39:45
0.0,2019-11-01 01:39:58
28.0,2019-11-01 01:40:00
0.0,2019-11-01 01:40:10
1.0,2019-11-01 01:40:29
3.0,2019-11-01 01:40:42
4.0,2019-11-01 01:40:52
0.0,2019-11-01 01:41:03
3.0,2019-11-01 01:41:12
0.0,2019-11-01 01:41:22
4.0,2019-11-01 01:41:42
0.0,2019-11-01 01:41:52
0.0,2019-11-01 01:42:00
3.0,2019-11-01 01:42:11
4.0,2019-11-01 01:42:22
0.0,2019-11-01 01:42:32
1.0,2019-11-01 01:42:43
4.0,2019-11-01 01:42:54
1.0,2019-11-01 01:43:09
12.0,2019-11-01 01:43:20
4.0,2019-11-01 01:43:32
7.0,2019-11-01 01:43:52
0.0,2019-11-01 01:44:04
0.0,2019-11-01 01:44:14
13.0,2019-11-01 01:44:26
11.0,2019-11-01 01:44:35
3.0,2019-11-01 01:44:46
3.0,2019-11-01 01:44:57
5.0,2019-11-01 01:45:06
1.0,2019-11-01 01:45:13
5.0,2019-11-01 01:45:28
25.0,2019-11-01 01:45:37
3.0,2019-11-01 01:45:48
2.0,2019-11-01 01:45:58
8.0,2019-11-01 01:46:01
2.0,2019-11-01 01:46:12
12.0,2019-11-01 01:46:23
2.0,2019-11-01 01:46:33
1.0,2019-11-01 01:46:51
19.0,2019-11-01 01:46:52
3.0,2019-11-01 01:47:11
2.0,2019-11-01 01:47:22
8.0,2019-11-01 01:47:32
2.0,2019-11-01 01:47:48
0.0,2019-11-01 01:47:58
8.0,2019-11-01 01:48:09
0.0,2019-11-01 01:48:17
13.0,2019-11-01 01:48:27
2.0,2019-11-01 01:48:38
3.0,2019-11-01 01:48:48
5.0,2019-11-01 01:48:58
0.0,2019-11-01 01:49:06
11.0,2019-11-01 01:49:12
2.0,2019-11-01 01:49:24
2.0,2019-11-01 01:49:33
2.0,2019-11-01 01:49:44
6.0,2019-11-01 01:50:09
3.0,2019-11-01 01:50:30
7.0,2019-11-01 01:50:37
5.0,2019-11-01 01:50:48
0.0,2019-11-01 01:50:57
1.0,2019-11-01 01:51:08
1.0,2019-11-01 01:51:17
12.0,2019-11-01 01:51:22
0.0,2019-11-01 01:51:39
7.0,2019-11-01 01:51:49
2.0,2019-11-01 01:52:00
1.0,2019-11-01 01:52:11
0.0,2019-11-01 01:52:22
1.0,2019-11-01 01:52:39
3.0,2019-11-01 01:52:59
11.0,2019-11-01 01:53:12
17.0,2019-11-01 01:53:19
3.0,2019-11-01 01:53:26
6.0,2019-11-01 01:53:35
3.0,2019-11-01 01:53:46
1.0,2019-11-01 01:53:57
3.0,2019-11-01 01:54:08
10.0,2019-11-01 01:54:19
0.0,2019-11-01 01:54:30
0.0,2019-11-01 01:54:41
4.0,2019-11-01 01:54:50
4.0,2019-11-01 01:55:11
0.0,2019-11-01 01:55:22
2.0,2019-11-01 01:55:32
0.0,2019-11-01 01:55:39
2.0,2019-11-01 01:56:00
10.0,2019-11-01 01:56:07
21.0,2019-11-01 01:56:27
1.0,2019-11-01 01:56:42
2.0,2019-11-01 01:56:53
7.0,2019-11-01 01:57:04
8.0,2019-11-01 01:57:15
9.0,2019-11-01 01:57:33
1.0,2019-11-01 01:57:42
1.0,2019-11-01 01:57:51
4.0,2019-11-01 01:58:13
3.0,2019-11-01 01:58:23
6.0,2019-11-01 01:58:35
2.0,2019-11-01 01:58:46
11.0,2019-11-01 01:58:57
2.0,2019-11-01 01:59:07
21.0,2019-11-01 01:59:09
4.0,2019-11-01 01:59:26
5.0,2019-11-01 01:59:37
0.0,2019-11-01 01:59:48
1.0,2019-11-01 01:59:53
2.0,2019-11-01 02:00:04
1.0,2019-11-01 02:00:17
2.0,2019-11-01 02:00:27
4.0,2019-11-01 02:00:38
0.0,2019-11-01 02:00:49
5.0,2019-11-01 02:00:58
5.0,2019-11-01 02:01:03
6.0,2019-11-01 02:01:14
0.0,2019-11-01 02:01:35
3.0,2019-11-01 02:01:46
8.0,2019-11-01 02:01:49
8.0,2019-11-01 02:01:59
2.0,2019-11-01 02:02:10
0.0,2019-11-01 02:02:21
1.0,2019-11-01 02:02:31
1.0,2019-11-01 02:02:42
9.0,2019-11-01 02:02:55
4.0,2019-11-01 02:03:08
1.0,2019-11-01 02:03:19
4.0,2019-11-01 02:03:41
2.0,2019-11-01 02:03:46
2.0,2019-11-01 02:04:06
8.0,2019-11-01 02:04:12
1.0,2019-11-01 02:04:26
1.0,2019-11-01 02:04:36
2.0,2019-11-01 02:04:48
4.0,2019-11-01 02:04:54
0.0,2019-11-01 02:05:05
5.0,2019-11-01 02:05:14
2.0,2019-11-01 02:05:24
0.0,2019-11-01 02:05:36
0.0,2019-11-01 02:05:56
4.0,2019-11-01 02:06:07
0.0,2019-11-01 02:06:18
4.0,2019-11-01 02:06:24
2.0,2019-11-01 02:06:35
2.0,2019-11-01 02:06:52
0.0,2019-11-01 02:07:04
1.0,2019-11-01 02:07:10
1.0,2019-11-01 02:07:29
3.0,2019-11-01 02:07:43
